Date,SX5E Index,TPX Index,UKX Index,IBEX Index,SPX Index,LBEATREU Index,AEX Index,INGGOPC LX Equity,INGEHYC LX Equity,INGEHIH LX Equity,SGEURSE LX Equity,SGIDXIW LX Equity
41681,3077.08,1204.28,6672.66,10091.2,1819.75,217.1088,394.96,311.25,421,7603.43,1050.67896,1356.46
41680,3032.53,1204.28,6591.55,9982.7,1799.84,217.1063,389.64,308.15,416.46,7595.42,1036.40698,1356.46
41679,3038.49,1189.14,6571.68,10072.4,1797.02,217.231,389.54,307.78,417.23,7581.51,1036.72095,1356.46
41678,3038.49,1189.14,6571.68,10072.4,1797.02,217.231,389.54,307.78,417.23,7581.51,1036.72095,1356.46
41677,3038.49,1189.14,6571.68,10072.4,1797.02,217.231,389.54,307.78,417.23,7581.51,1036.72095,1356.46
41676,3010.79,1162.37,6558.28,9964.6,1773.43,216.7338,388.41,304.49,413.9,7573.2,1029.177,1356.46
41675,2962.51,1162.64,6457.89,9775,1751.64,217.1783,382.65,302.84,407.49,7564.26,1011.50201,1356.46
41674,2962.49,1139.27,6449.27,9754.3,1755.2,217.0441,382.98,302.84,406.28,7555.12,1010.43201,1356.46
41673,2963.96,1196.32,6465.66,9725.4,1741.89,217.0875,383.63,301.98,405.82,7561.76,1010.41803,1356.46
41672,3013.96,1220.64,6510.44,9920.2,1782.59,216.9847,386.85,307.66,412.54,7560.41,1024.71204,1356.46
41671,3013.96,1220.64,6510.44,9920.2,1782.59,216.9847,386.85,307.66,412.54,7560.41,1024.71204,1356.46
41670,3013.96,1220.64,6510.44,9920.2,1782.59,216.9847,386.85,307.66,412.54,7560.41,1024.71204,1356.46
41669,3027.3,1224.09,6538.45,9964.5,1794.19,216.3567,389.61,306.89,414.92,7565.73,1029.75305,1356.46
41668,3011.45,1256.18,6544.28,9896.2,1774.2,216.0641,389.33,304.9,413.63,7575.05,1026.59802,1356.46
41667,3038.6,1224.31,6572.33,9879.1,1792.5,215.8683,392.23,305.82,415.5,7574.17,1032.65796,1356.46
41666,3014.62,1229.23,6550.66,9758.4,1781.56,215.711,390.79,304.64,411.59,7568.16,1023.80298,1356.46
41665,3028.2,1264.6,6663.74,9868.9,1790.29,215.7121,393.85,308.89,414.02,7581.55,1030.16504,1356.46
41664,3028.2,1264.6,6663.74,9868.9,1790.29,215.7121,393.85,308.89,414.02,7581.55,1030.16504,1356.46
41663,3028.2,1264.6,6663.74,9868.9,1790.29,215.7121,393.85,308.89,414.02,7581.55,1030.16504,1356.46
41662,3117.08,1287.52,6773.28,10241.2,1828.46,215.4871,403.89,315.95,424.79,7604.98,1057.93506,1356.46
41661,3151.27,1299.63,6826.33,10279.7,1844.86,215.3722,407.45,320.59,427.19,7608.99,1067.229,1356.46
41660,3153.08,1295.95,6834.26,10357.4,1843.8,215.5291,405.19,319.75,427.47,7610.83,1068.11902,1356.46
41659,3153.17,1293.86,6836.73,10454.1,1838.7,215.6124,408,317.65,429.24,7605.9,1069.13306,1356.46
41658,3154.1,1297.39,6829.3,10465.7,1838.7,215.3357,408.26,318.08,430.5,7599.04,1070.31299,1356.46
41657,3154.1,1297.39,6829.3,10465.7,1838.7,215.3357,408.26,318.08,430.5,7599.04,1070.31299,1356.46
